#TEFF:4000 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
5310.0	75331.6786426
5330.0	62139.959271
5350.0	69533.8349524
5370.0	67835.8550224
5390.0	67101.1884645
5410.0	66136.8501138
5430.0	65339.4209782
5450.0	61671.3029836
5470.0	66316.0647495
5490.0	68089.6636454
5510.0	64787.9386492
5530.0	73963.6222975
5550.0	75518.20924
5570.0	74283.0610777
5590.0	67065.4919308
5610.0	70834.6972773
5630.0	76523.5975501
5650.0	81582.8040376
5670.0	79235.5730873
5690.0	81894.4980107
5710.0	78622.1791546
5730.0	87015.2245537
5750.0	86340.227904
5770.0	85391.53631
5790.0	82331.7918473
5810.0	84931.1755534
5830.0	88106.9067315
5850.0	83739.5299734
5870.0	78763.0687768
5890.0	40049.9861884
5910.0	70725.8577812
5930.0	82720.4468299
5950.0	84185.7699656
5970.0	86840.0443421
5990.0	86670.5267498
6010.0	86675.6359726
6030.0	89853.0621432
6050.0	91512.3593534
6070.0	91260.1800772
6090.0	89206.7689229
6110.0	88141.8944824
6130.0	80738.423738
6150.0	87435.0083733
6170.0	70624.5444926
6190.0	84798.5744845
6210.0	81998.8239576
6230.0	78754.3291475
6250.0	77391.5429497
6270.0	81031.7900411
6290.0	84965.229376
6310.0	83938.0632906
6330.0	85189.1847989
6350.0	85976.8115646
6370.0	86294.8108268
6390.0	88163.6711231
6410.0	85483.8368756
6430.0	84742.6032388
6450.0	81205.7258386
6470.0	80890.6596158
6490.0	81161.5689083
6510.0	86619.8675371
6530.0	88789.8461825
6550.0	86969.6855024
6570.0	87086.9069745
6590.0	87711.941608
6610.0	88149.429941
6630.0	88109.4609698
6650.0	88698.8415506
6670.0	84670.383731
6690.0	81170.723232
6710.0	75507.2610828
6730.0	76495.4647882
6750.0	74582.1127337
6770.0	74508.3965684
6790.0	73088.2335393
6810.0	75025.5253794
6830.0	77395.1919915
6850.0	76886.4071516
6870.0	78294.1641783
6890.0	80644.2034092
6910.0	82670.6674085
6930.0	82731.0300672
6950.0	84707.1573269
6970.0	87535.5544407
6990.0	86924.909128
7010.0	88857.7180504
7030.0	90360.7270278
7050.0	91875.4332329
7070.0	87877.7209641
7090.0	76987.6092457
7110.0	67416.4013472
7130.0	63736.3192103
7150.0	61955.2509907
7170.0	66345.2980839
7190.0	66463.8408146
7210.0	67081.7783025
7230.0	72928.0544207
7250.0	75474.9792478
7270.0	79348.4689575
7290.0	81463.4716926
7310.0	84530.3636434
7330.0	84649.9999129
7350.0	86726.0221875
7370.0	89760.7327453
7390.0	90137.3900722
7410.0	90333.9619766
7430.0	92096.5402568
7450.0	91699.9515241
7470.0	93417.6914656
7490.0	93432.4775833
7510.0	94402.5640749
7530.0	95382.1886834
7550.0	95682.1926827
7570.0	95438.850976
7590.0	94702.3621797
7610.0	93615.0961625
7630.0	90601.6724706
7650.0	87065.1905877
7670.0	79370.3015584
7690.0	82040.2655538
7710.0	79607.9669728
7730.0	81017.8018437
7750.0	80555.2629288
7770.0	80781.6703644
7790.0	82555.9210013
7810.0	82369.5581131
7830.0	81103.358703
7850.0	79907.3572583
7870.0	83494.9747323
7890.0	82503.9539302
7910.0	81943.5242035
7930.0	82903.6993717
7950.0	82691.0631749
7970.0	85231.0341796
7990.0	86002.3570736
8010.0	87077.9853412
8030.0	86974.8640575
8050.0	87709.0422626
8070.0	88444.0896731
8090.0	88552.4224241
8110.0	89957.6560744
8130.0	91352.5429571
8150.0	91739.7192413
8170.0	91627.9659389
8190.0	84003.0837826
8210.0	90430.407884
8230.0	91505.1515097
8250.0	91066.4326046
8270.0	92441.2204595
8290.0	91934.6495967
8310.0	89955.8405734
8330.0	87057.4116134
8350.0	89065.9539605
8370.0	88790.5932327
8390.0	83154.8958257
8410.0	87757.2428841
8430.0	81009.2545121
8450.0	78417.7548134
8470.0	78971.379942
8490.0	78920.0055293
8510.0	75672.4463545
8530.0	78890.2582751
8550.0	71061.9159704
8570.0	82057.8118178
8590.0	82509.0392226
8610.0	83161.438922
8630.0	84354.3534955
8650.0	84734.0158613
8670.0	73890.3305671
8690.0	80597.2035409
8710.0	86099.7240448
8730.0	86527.8017058
8750.0	86449.8662886
8770.0	86305.4780802
8790.0	87321.6573711
8810.0	84708.564285
8830.0	84809.7413982
8850.0	87010.52897
8870.0	86534.7607898
8890.0	87890.7589683
8910.0	87949.7852552
8930.0	86759.2829852
8950.0	86300.8556415
8970.0	86683.9860773
8990.0	87177.8474404
9010.0	83559.9358361
9030.0	86065.2954446
9050.0	87636.287408
9070.0	87596.4270661
9090.0	84660.7536053
9110.0	85246.6947618
9130.0	86481.2564415
9150.0	86372.168526
9170.0	86355.903308
9190.0	86874.9636449
9210.0	84649.6356762
9230.0	84350.0481643
9250.0	83372.5234549
9270.0	82971.2953783
9290.0	81808.5372347
9310.0	82965.4505688
9330.0	82837.4395572
9350.0	81965.6190468
9370.0	80871.7001998
9390.0	82397.6113439
9410.0	81164.0746175
9430.0	82107.9957873
9450.0	80683.2052358
9470.0	82308.3834002
9490.0	82474.4580498
9510.0	82157.7604573
9530.0	81955.2233817
9550.0	80484.8368644
9570.0	81068.6042659
9590.0	82484.5610297
9610.0	80946.9923552
9630.0	81849.2449511
9650.0	78580.7308365
9670.0	79031.8769888
9690.0	81126.1230799
9710.0	80054.5873065
9730.0	79206.4968112
9750.0	79689.2110054
9770.0	80343.194058
9790.0	78185.4311342
9810.0	81302.9971221
9830.0	80224.7917441
9850.0	81348.5123736
9870.0	80871.450475
9890.0	80765.3762751
9910.0	80598.446244
9930.0	80401.8010445
9950.0	80375.6593287
9970.0	80288.7602066
9990.0	80289.0259371
10025.0	79475.8287174
10075.0	78925.2206972
10125.0	78948.9113355
10175.0	78209.6553375
10225.0	77690.3711198
10275.0	77580.6891507
10325.0	76119.644279
10375.0	75886.2660183
10425.0	76147.6187967
10475.0	75332.2448788
10525.0	75478.8036955
10575.0	74600.5355977
10625.0	74603.7992313
10675.0	73572.461916
10725.0	73344.1749226
10775.0	73018.8242081
10825.0	71808.5836387
10875.0	72242.3380466
10925.0	72439.1036344
10975.0	71865.1931635
11025.0	71688.3815631
11075.0	71558.2656145
11125.0	71061.8262571
11175.0	70386.5380924
11225.0	70381.8786621
11275.0	69023.2630377
11325.0	69128.0569791
11375.0	67907.6799538
11425.0	66802.4337843
11475.0	68334.3696634
11525.0	68361.1612436
11575.0	67496.6212135
11625.0	66016.5938823
11675.0	66263.9357299
11725.0	66927.7213941
11775.0	65231.863653
